ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,2Q,S3-FIFO,LIRS,Hyperbolic,LeanEvict,LRU-2,Clock Sweep,lru,CLOCK,Random
100,69754,72832,68489,74148,72683,71736,71104,112422,72048,76502,77520,72313,74810,75533,78427
700,42084,41473,42752,47400,43122,50498,49753,50178,47558,55549,48192,48288,54085,55804,58544
800,40535,39839,41255,45217,41637,49005,48361,48603,45735,53460,46361,46559,51843,53685,56818
900,39156,38432,39875,43543,40309,47666,47083,47225,44234,51434,44896,45050,49559,51699,55234
1000,38040,37351,38729,42002,38869,46439,45974,46077,42850,49656,43708,43683,47720,49833,53439
2000,29244,29217,28948,31701,29686,38401,37045,38403,33115,37317,34801,33783,35542,36964,42582
3000,23595,23526,23086,25961,24083,33308,30830,32880,26547,29917,28817,26899,28019,29182,35329
4000,19853,19838,19609,22660,20290,29206,26479,28602,22307,24983,24507,22415,23664,24544,30427
5000,17115,17102,17184,20075,17972,26122,23019,25457,19289,21531,21219,19386,20781,21628,26410
6000,15384,15332,15566,17870,16322,24211,20588,22897,17061,19314,18603,17090,18647,19304,23368
7000,14239,14200,14432,16033,15185,22808,19114,20858,15480,17535,16656,15469,16885,17627,21026
8000,13412,13402,13581,14697,14348,21759,18162,19145,14295,16026,15080,14278,15438,16114,19016
9000,12840,12841,12967,13718,13638,20883,17456,17618,13474,14931,13821,13439,14393,14961,17342
10000,12486,12481,12527,12977,13040,20187,16602,16346,12887,14095,12950,12809,13565,14113,15937
11000,12218,12218,12241,12479,12583,19707,15966,15322,12424,13303,12393,12393,12889,13440,14716
12000,12037,12037,12043,12131,12287,19365,15619,14467,12144,12717,12094,12130,12410,12880,13798
13000,11926,11926,11926,11940,12037,19039,15274,13599,11985,12274,11931,11948,12083,12507,13021
14000,11826,11826,11826,11826,11885,18762,15193,12852,11840,11986,11826,11826,11880,12194,12358
15000,11765,11765,11765,11765,11764,18516,15096,12191,11773,11802,11765,11765,11775,11924,11930
16000,11741,11741,11741,11741,11741,18297,14988,11784,11740,11742,11741,11741,11741,11742,11744
17000,11740,11740,11740,11740,11740,18094,14927,11740,11740,11740,11740,11740,11740,11740,11740
