ramSize,arc,lru_k2_z-1,lru,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,amclock7,amclock8,amclock9,amclock10,WATT,hyperbolic20
100,62.3534,63.8790,73.8311,74.9891,72.9482,63.4705,65.5836,69.4832,69.8910,69.3758,70.9421,63.8384,68.1174,64.0866,63.9173,62.8880,65.5634,71.4939
200,55.4438,56.8642,66.0753,67.2661,65.1531,56.0509,58.2484,61.3864,61.2961,60.2019,62.7728,56.2137,60.2506,56.1770,55.3820,55.8731,57.9693,63.6965
300,51.2440,52.4653,61.1268,62.3324,60.1563,51.0919,53.0507,56.1643,55.7382,54.2864,57.5043,51.0919,55.5158,51.0919,51.1171,51.1171,53.3104,58.6973
400,48.1666,49.2715,57.3957,58.5941,56.4000,47.4689,49.3431,52.0711,51.3648,49.8455,53.5365,47.4689,51.7412,47.4689,48.4037,48.4037,49.8488,54.9618
500,45.7001,46.7173,54.3869,55.5921,53.3784,45.0429,46.6305,48.7250,47.8278,46.2870,50.3489,45.0429,49.0235,45.0429,45.3098,45.3098,47.1016,51.9893
600,43.6471,44.5371,51.8449,53.0244,50.8200,43.2046,44.0428,45.9559,44.9795,43.4979,47.8414,43.2046,46.4392,43.2046,43.5686,43.5686,44.8422,49.4292
700,41.9058,42.6761,49.6235,50.8429,48.5986,40.7643,43.1777,42.7729,41.7849,40.3898,45.4831,40.7643,44.2480,40.7643,40.1470,40.1470,42.8590,47.2380
800,40.3740,41.0202,47.6749,48.8741,46.6411,39.1860,40.8097,39.7859,39.7025,39.0954,43.4519,39.1860,42.6385,39.1860,38.4138,38.4138,41.1369,45.3022
900,38.9678,39.5300,45.9120,47.1037,44.8846,37.8411,39.7261,38.3127,37.9633,37.9754,41.6347,37.8411,40.5160,37.8411,37.0838,37.0838,39.6079,43.5893
1000,37.7060,38.1685,44.3045,45.4824,43.2714,35.7397,37.6014,37.1596,36.6621,36.2971,39.9757,35.7397,39.0702,35.7397,37.1342,37.1342,38.2076,42.0019
2000,29.0927,28.5730,32.9349,33.9581,31.9151,25.9957,29.0055,25.9957,25.9957,26.7563,29.5911,25.9957,29.0585,25.9957,27.5249,27.5249,28.4388,30.8792
3000,23.7373,22.3861,25.4912,26.4026,24.5331,21.0131,21.9551,21.0131,21.0131,20.6837,22.7989,21.0131,22.7785,21.0131,20.7271,20.7271,22.1788,23.7378
4000,18.7477,17.6873,19.8853,20.6187,18.9900,16.0634,17.0886,16.0634,16.0634,16.2586,17.8276,16.0634,17.7084,16.0634,16.0634,16.0634,17.5127,18.4152
5000,15.2742,13.8068,15.3438,15.8934,14.5586,12.3906,13.1806,12.3906,12.3906,12.8124,13.8061,12.3906,13.5304,12.3906,12.3906,12.3906,13.7016,14.1556
6000,11.4586,10.5050,11.5026,11.9221,10.8688,9.6379,10.0113,9.6379,9.6379,9.8737,10.4281,9.6379,10.3445,9.6379,9.6379,9.6379,10.4532,10.6293
7000,8.1979,7.6185,8.2213,8.5227,7.7456,7.0978,7.2382,7.0978,7.0978,7.1461,7.5223,7.0978,7.3151,7.0978,7.1773,7.1773,7.6554,7.6256
8000,5.3724,5.0681,5.3914,5.5370,5.0746,4.7320,4.7988,4.7320,4.7320,4.7814,4.9871,4.7320,4.8320,4.7320,4.7320,4.7320,5.1469,5.0354
9000,2.9220,2.8190,2.9263,3.0063,2.7783,2.6971,2.7346,2.6971,2.6971,2.7055,2.7950,2.6971,2.7114,2.6971,2.6971,2.6971,2.9571,2.8021
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
