ramSize,amclock_DW,amclock_Final,amclock_WA15,amclock_WA,amclock_WA25,amclock_WA3,amclock_WA35,amclock_WA4,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20
100,72565,69702,69006,68489,68019,67807,67651,67582,74148,72683,77520,74810,75533,72313,72048
700,42593,42160,42495,42752,42925,43090,43267,43374,47400,43122,48192,54085,55804,48288,47558
800,40967,40611,41023,41255,41422,41559,41577,41668,45217,41637,46361,51843,53685,46559,45735
900,39800,39271,39575,39875,40042,40146,40269,40291,43543,40309,44896,49559,51699,45050,44234
1000,38967,38078,38452,38729,38909,39035,39047,39116,42002,38869,43708,47720,49833,43683,42850
2000,31061,29393,29114,28948,28833,28675,28592,28440,31701,29686,34801,35542,36964,33783,33115
3000,23973,23444,23255,23086,23005,22907,22802,22672,25961,24083,28817,28019,29182,26899,26547
4000,20556,20027,19756,19609,19513,19497,19393,19312,22660,20290,24507,23664,24544,22415,22307
5000,17675,17500,17295,17184,17129,17041,17027,17014,20075,17972,21219,20781,21628,19386,19289
6000,15889,15807,15657,15566,15534,15468,15450,15417,17870,16322,18603,18647,19304,17090,17061
7000,14621,14586,14517,14432,14403,14379,14367,14357,16033,15185,16656,16885,17627,15469,15480
8000,13674,13674,13623,13581,13574,13556,13545,13537,14697,14348,15080,15438,16114,14278,14295
9000,13014,13014,12997,12967,12950,12948,12943,12938,13718,13638,13821,14393,14961,13439,13474
10000,12540,12540,12532,12527,12523,12525,12518,12517,12977,13040,12950,13565,14113,12809,12887
11000,12256,12256,12249,12241,12238,12239,12231,12231,12479,12583,12393,12889,13440,12393,12424
12000,12072,12072,12056,12043,12043,12043,12043,12043,12131,12287,12094,12410,12880,12130,12144
13000,11932,11932,11926,11926,11926,11926,11926,11926,11940,12037,11931,12083,12507,11948,11985
14000,11826,11826,11826,11826,11826,11826,11826,11826,11826,11885,11826,11880,12194,11826,11840
15000,11765,11765,11765,11765,11765,11765,11765,11765,11765,11764,11765,11775,11924,11765,11773
16000,11741,11741,11741,11741,11741,11741,11741,11741,11741,11741,11741,11741,11742,11741,11740
17000,11740,11740,11740,11740,11740,11740,11740,11740,11740,11740,11740,11740,11740,11740,11740
