ramSize,newfinal,WATT,LIRS,ARC,2Q,LRU-2,Hyperbolic,LeanEvict,Clock Sweep,lru,CLOCK,Random
100,29.9367,29.1087,32.4005,29.0020,24.0583,35.1005,27.7583,29.4006,28.0095,28.5763,28.9236,32.4344
700,13.4215,13.5253,13.6122,14.0163,13.5296,16.4232,14.5850,15.9585,14.7229,15.3293,15.8592,17.8221
800,12.5603,12.8210,12.7896,13.1336,12.7986,15.3975,13.8216,14.9610,13.9508,14.3881,14.8453,16.7638
900,11.8783,12.1577,12.0908,12.3948,12.1483,14.5371,13.0853,14.0687,13.2219,13.5379,14.0212,15.8915
1000,11.2670,11.5407,11.4361,11.7080,11.5793,13.7294,12.4144,13.2874,12.5553,12.8009,13.2621,15.0511
2000,7.7311,7.8366,6.8748,7.1304,7.6990,8.4845,7.9169,8.3633,8.0287,7.9198,8.1864,9.9269
3000,5.8821,5.8099,4.8680,4.9778,5.8259,6.2068,5.5424,5.8105,5.5192,5.2200,5.4180,7.2591
4000,4.5754,4.4892,3.9199,4.1053,4.4591,5.0057,4.3674,4.3998,4.3105,4.0145,4.1437,5.7433
5000,3.7408,3.6474,3.2985,3.4588,3.5004,4.1414,3.6305,3.5897,3.5863,3.3561,3.4828,4.7056
6000,3.1643,3.0714,2.8474,2.9687,3.1080,3.4760,3.0887,3.0800,3.0578,2.9063,3.0203,3.9646
7000,2.7077,2.6438,2.5072,2.5735,2.8669,2.9876,2.6941,2.7015,2.6643,2.5644,2.6834,3.4591
8000,2.3812,2.3488,2.2594,2.2753,2.7100,2.6004,2.3914,2.4094,2.3595,2.2909,2.4091,3.0277
9000,2.1376,2.1264,2.0653,2.0666,2.6072,2.3005,2.1618,2.1996,2.1386,2.0970,2.2002,2.6858
10000,1.9678,1.9585,1.9173,1.9097,2.5385,2.0689,1.9831,2.0259,1.9682,1.9466,2.0385,2.4143
11000,1.8366,1.8485,1.8105,1.8082,2.5014,1.9052,1.8534,1.8885,1.8423,1.8277,1.9137,2.1770
12000,1.7462,1.7626,1.7364,1.7316,2.4742,1.7828,1.7588,1.7852,1.7481,1.7400,1.8130,1.9976
13000,1.6866,1.6992,1.6805,1.6833,2.4511,1.6933,1.6948,1.7060,1.6858,1.6807,1.7490,1.8536
14000,1.6449,1.6524,1.6440,1.6449,2.4328,1.6449,1.6480,1.6551,1.6449,1.6420,1.6934,1.7340
15000,1.6218,1.6228,1.6208,1.6218,2.4133,1.6218,1.6230,1.6234,1.6218,1.6208,1.6473,1.6528
16000,1.6129,1.6129,1.6130,1.6129,2.3974,1.6129,1.6129,1.6131,1.6129,1.6129,1.6147,1.6137
17000,1.6128,1.6128,1.6128,1.6128,2.3819,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
